LOCATION,Country,VAR,Variable ,TIME,Time,Unit Code,Unit,PowerCode ,PowerCode,Reference ,Reference ,Value
ISR,Israel,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,2.81
CRI,Costa Rica,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2015,2015,0,0,0,Units,0,0,1.608
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.613
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,7.413
BEL,Belgium,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,928
CAN,Canada,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.541
CZE,Czechia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.054
DNK,Denmark,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.557
FIN,Finland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,10.891
FRA,France,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.768
DEU,Germany,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.282
GRC,Greece,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,0.71
HUN,Hungary,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.631
ISL,Iceland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.251
IRL,Ireland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,3.145
ITA,Italy,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.867
JPN,Japan,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.656
KOR,Korea,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.023
LUX,Luxembourg,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.998
MEX,Mexico,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,777
NLD,Netherlands,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.126
NZL,New Zealand,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,01.05
NOR,Norway,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.697
POL,Poland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.091
PRT,Portugal,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.643
SVK,Slovak Republic,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,728
ESP,Spain,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.272
SWE,Sweden,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.55
CHE,Switzerland,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.742
TUR,Türkiye,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.067
GBR,United Kingdom,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.031
USA,United States,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.846
COL,Colombia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,958
EST,Estonia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.451
LVA,Latvia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,7.577
LTU,Lithuania,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.489
SVN,Slovenia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,1.683
OECD,OECD - Total,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.43
ISR,Israel,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,4.489
CRI,Costa Rica,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2016,2016,0,0,0,Units,0,0,2.456
AUS,Australia,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,2.149
AUT,Austria,BB-DATA-GB,"Mobile data usage per mobile broadband subscription, GB per month",2017,2017,0,0,0,Units,0,0,11.902
